Cell_ID,I,J,X,Y
668,104,19,375868.09,4087985
669,105,19,377222.12,4088212.5
670,106,19,378525.41,4088605
671,107,19,379810.38,4089092.75
672,108,19,381042.91,4089597.5
673,110,19,383595.25,4091044.75
674,111,19,384970.31,4091622.5
675,113,19,387797.81,4093032.75
676,114,19,388970.25,4093592.75
677,115,19,390289,4094077.75
678,116,19,391693.97,4094572.75
679,117,19,392905.44,4095067.5
680,118,19,393984.72,4095579.75
681,119,19,394955.16,4096107.5
682,120,19,395912.44,4096589.75
683,121,19,396826.72,4097017.25
684,122,19,397717.91,4097390
685,123,19,398635.62,4097702.75
686,124,19,399523.38,4097967.75
687,125,19,400399.88,4098222.75
688,126,19,401255.38,4098462.5
689,127,19,402089.03,4098664.75
690,128,19,402926.09,4098857.5
691,129,19,403757.84,4099057.5
692,130,19,404528.09,4099237.75
693,131,19,405218.53,4099410.25
694,132,19,405841,4099620.25
695,133,19,406381.25,4099850
696,134,19,406836.56,4100112.25
697,135,19,407231.38,4100430
698,136,19,407594.12,4100782.75
699,137,19,407964.56,4101152.25
700,138,19,408343.25,4101575
701,139,19,408729,4102080.25
702,140,19,409124.97,4102654.75
703,141,19,409532.72,4103345
704,142,19,409970.31,4104124.75
705,143,19,410444.03,4104962.5
706,144,19,410917.53,4105887.25
707,145,19,411413.31,4106957.5
708,146,19,411930.44,4108149.75
709,147,19,412459.44,4109390
710,148,19,413037.44,4110715
711,60,20,300851.31,4130792.25
712,62,20,306063.69,4129442.25
713,72,20,323771.03,4124962
714,73,20,325436.12,4122979.5
715,74,20,327863.5,4121332.25
716,75,20,330120.94,4119912.75
717,76,20,333203.44,4119622.5
718,77,20,337418.44,4119832.25
719,78,20,340490.91,4118702
720,79,20,342658.38,4116692.5
721,80,20,345903.25,4116122.25
722,81,20,349465.75,4117597
723,82,20,351998.25,4117145
724,83,20,353263.19,4114572.5
725,84,20,353821.28,4112114.5
726,85,20,353976.25,4109225
727,86,20,354215.59,4106780.25
728,87,20,355080,4105255
729,88,20,356228.88,4103895
730,89,20,357440.69,4102573.5
731,90,20,358761.31,4101505.25
732,91,20,360096.56,4100440.25
733,92,20,361461.09,4099313.5
734,93,20,362837.81,4098232.75
735,94,20,364179,4097161
736,95,20,365450,4096067.5
737,96,20,366624.31,4094914
738,97,20,367697.12,4093691.25
739,98,20,368701.84,4092432.25
740,99,20,369703.88,4091211.5
741,100,20,370766.88,4090128.75
742,101,20,371924.31,4089288.25
743,102,20,373178.19,4088746.25
744,103,20,374498.81,4088507.75
745,104,20,375846.47,4088546.5
746,105,20,377172.91,4088816.25
747,106,20,378454.62,4089307.75
748,107,20,379680,4089920.25
749,108,20,380885.47,4090546.5
750,109,20,382089.62,4091255
751,110,20,383328.41,4091936.75
752,111,20,384596.69,4092548.75
753,112,20,385920.88,4093217.5
754,113,20,387195.59,4093876.25
755,114,20,388329.16,4094473.5
756,115,20,389580.16,4095022.5
757,116,20,390906.19,4095564.75
758,117,20,392059.91,4096106.5
759,118,20,393094.81,4096635
760,119,20,394082.84,4097144
761,120,20,395058.03,4097606.5
762,121,20,395991.12,4098017.5
763,122,20,396902,4098375
764,123,20,397840.03,4098670
765,124,20,398749.16,4098918.75
766,125,20,399647.84,4099160.25
767,126,20,400526.31,4099386.5
768,127,20,401383.84,4099575
769,128,20,402245.16,4099755
770,129,20,403101.72,4099943.75
771,130,20,403896.25,4100114
772,131,20,404609.84,4100281.25
773,132,20,405253.44,4100487.25
774,133,20,405812.19,4100715
775,134,20,406283.72,4100979.75
776,135,20,406692.72,4101301.5
777,136,20,407068.25,4101655
778,137,20,407450.84,4102028.5
779,138,20,407841.53,4102455
780,139,20,408238.88,4102962.5
781,140,20,408646.91,4103537.25
782,141,20,409067.75,4104226
783,142,20,409519.41,4105003.75
784,143,20,410009.09,4105837.5
785,144,20,410500.59,4106761.25
786,145,20,411017.44,4107829.75
787,146,20,411560.97,4109022
788,147,20,412124,4110263.75
789,148,20,412754.59,4111607
790,52,21,287761.47,4123997
791,53,21,289223.97,4125525
792,54,21,289873.97,4127464.75
793,55,21,290393.94,4129694.5
794,56,21,291438.91,4131757
795,57,21,293371.41,4131824.75
796,58,21,295674.91,4131557
797,59,21,298263.62,4131769.25
798,60,21,301125.09,4131599.75
799,61,21,303846.25,4131102
800,62,21,306306.25,4130174.75
801,63,21,309733.78,4129770
802,64,21,313273.66,4130379.75
803,65,21,314773.59,4129184.75
804,66,21,315871.16,4126685
805,67,21,318008.62,4126822
806,68,21,320151.09,4128834.5
807,69,21,322048.62,4129777
808,70,21,322853.66,4128737.25
809,71,21,323218.59,4127017
810,72,21,324053.53,4125092.5
811,73,21,325711.03,4123167
812,74,21,328016,4121602.25
813,75,21,330265.94,4120262.5
814,76,21,333455.91,4120020.25
815,77,21,337733.38,4120207.25
816,78,21,340788.38,4119012.25
817,79,21,342940.88,4117025
818,80,21,346235.81,4116707.25
819,81,21,349838.25,4118200
820,82,21,352370.75,4117574.75
821,83,21,353685.72,4114967.25
822,84,21,354196.31,4112444.5
823,85,21,354311.31,4109572.25
824,86,21,354605.69,4107210.25
825,87,21,355460.25,4105680
826,88,21,356572.03,4104275.25
827,89,21,357744.62,4102941.5
828,90,21,359010.88,4101844.75
829,91,21,360314.56,4100770
830,92,21,361670.09,4099651.5
831,93,21,363036.38,4098577.25
832,94,21,364368.03,4097514
833,95,21,365631.03,4096432.25
834,96,21,366793.88,4095291.5
835,97,21,367846.41,4094074.25
836,98,21,368823.59,4092817.5
837,99,21,369798.56,4091594
838,100,21,370838.62,4090506.25
839,101,21,371974.16,4089666.25
840,102,21,373204.72,4089138.5
841,103,21,374496.56,4088932.5
842,104,21,375807.72,4089009
843,105,21,377112.12,4089319
844,106,21,378376.91,4089832.75
845,107,21,379596.84,4090467.75
846,108,21,380790.75,4091139
847,109,21,381970.91,4091859.75
848,110,21,383149.72,4092594
849,111,21,384329.44,4093296.75
850,112,21,385514.69,4093972.75
851,113,21,386681.47,4094608.75
